#node time(s) x y

#initial positions of nodes
0 0.0 50 0
1 0.0 15 20
2 0.0 0 50
3 0.0 15 80
4 0.0 50 100
5 0.0 85 80
6 0.0 100 50
7 0.0 85 20
8 0.0 50 50

#moving node 9 (8, 0-indexed)
8 1.0 60 50
8 2.0 70 50
8 3.0 80 50
8 4.0 80 60
8 5.0 90 60
8 6.0 100 60
8 7.0 110 60
8 8.0 120 60
8 9.0 130 60
8 10.0 140 60
8 11.0 150 60
8 12.0 150 70
8 13.0 150 80
8 14.0 150 90
8 15.0 150 100
8 16.0 150 110
8 17.0 150 120
8 18.0 150 130
8 19.0 150 140
8 20.0 150 150
8 21.0 140 150
8 22.0 130 150
8 23.0 120 150
8 24.0 110 150
8 25.0 100 150
8 26.0 90 150
8 27.0 80 150
8 28.0 70 150
8 29.0 60 150
8 30.0 50 150
8 31.0 40 150
8 32.0 30 150
8 33.0 20 150
8 34.0 10 150
8 35.0 0 150
8 36.0 -10 150
8 37.0 -20 150
8 38.0 -30 150
8 39.0 -40 150
8 40.0 -50 150
8 41.0 -50 140
8 42.0 -50 130
8 43.0 -50 120
8 44.0 -50 110
8 45.0 -50 100
8 46.0 -50 90
8 47.0 -50 80
8 48.0 -50 70
8 49.0 -50 60
8 50.0 -40 60
8 51.0 -30 60
8 52.0 -20 60
8 53.0 -10 60
8 54.0 0 60
8 55.0 10 60
8 56.0 20 60
8 57.0 20 50
8 58.0 30 50
8 59.0 40 50
8 60.0 50 50
